t,cat,level,x,y,n
tt0387199,Sex & Nudity,Severe,70,140,70
tt0387199,Violence & Gore,Mild,30,53,30
tt0387199,Profanity,Severe,43,51,43
tt0387199,"Alcohol, Drugs & Smoking",Severe,38,51,38
tt0387199,Frightening & Intense Scenes,None,32,48,32
tt3830558,Sex & Nudity,Severe,68,107,68
tt3830558,Violence & Gore,Severe,28,44,28
tt3830558,Profanity,Moderate,22,40,22
tt3830558,"Alcohol, Drugs & Smoking",Mild,18,34,18
tt3830558,Frightening & Intense Scenes,Moderate,24,36,24
tt0262985,Sex & Nudity,Severe,65,76,65
tt0262985,Violence & Gore,Mild,29,42,29
tt0262985,Profanity,Severe,30,38,30
tt0262985,"Alcohol, Drugs & Smoking",Severe,31,43,31
tt0262985,Frightening & Intense Scenes,Mild,20,48,20
tt3673794,Sex & Nudity,Severe,63,99,63
tt3673794,Violence & Gore,Severe,30,41,30
tt3673794,Profanity,Severe,34,44,34
tt3673794,"Alcohol, Drugs & Smoking",Severe,34,39,34
tt3673794,Frightening & Intense Scenes,Moderate,17,41,17
tt10801534,Sex & Nudity,Severe,53,76,53
tt10801534,Violence & Gore,None,19,34,19
tt10801534,Profanity,Mild,19,34,19
tt10801534,"Alcohol, Drugs & Smoking",Mild,11,26,11
tt10801534,Frightening & Intense Scenes,None,24,29,24
tt2094262,Sex & Nudity,Severe,48,74,48
tt2094262,Violence & Gore,Severe,14,27,14
tt2094262,Profanity,Moderate,9,22,9
tt2094262,"Alcohol, Drugs & Smoking",Mild,18,21,18
tt2094262,Frightening & Intense Scenes,Moderate,10,22,10
tt6294706,Sex & Nudity,Severe,40,79,40
tt6294706,Violence & Gore,Moderate,10,27,10
tt6294706,Profanity,Severe,20,31,20
tt6294706,"Alcohol, Drugs & Smoking",Severe,11,22,11
tt6294706,Frightening & Intense Scenes,Moderate,3,7,3
tt0361217,Sex & Nudity,Severe,37,66,37
tt0361217,Violence & Gore,Severe,26,36,26
tt0361217,Profanity,Severe,22,30,22
tt0361217,"Alcohol, Drugs & Smoking",Moderate,14,33,14
tt0361217,Frightening & Intense Scenes,Severe,19,28,19
tt2244495,Sex & Nudity,Severe,37,59,37
tt2244495,Violence & Gore,Severe,33,47,33
tt2244495,Profanity,Severe,38,48,38
tt2244495,"Alcohol, Drugs & Smoking",Moderate,23,45,23
tt2244495,Frightening & Intense Scenes,Moderate,22,59,22
tt4937942,Sex & Nudity,Severe,35,69,35
tt4937942,Violence & Gore,Moderate,12,26,12
tt4937942,Profanity,Mild,6,12,6
tt4937942,"Alcohol, Drugs & Smoking",Moderate,5,8,5
tt4937942,Frightening & Intense Scenes,Moderate,5,12,5
tt0866442,Sex & Nudity,Severe,32,58,32
tt0866442,Violence & Gore,Moderate,11,18,11
tt0866442,Profanity,Severe,22,26,22
tt0866442,"Alcohol, Drugs & Smoking",Severe,17,20,17
tt0866442,Frightening & Intense Scenes,Mild,12,17,12
tt6078096,Sex & Nudity,Severe,31,45,31
tt6078096,Violence & Gore,Mild,7,10,7
tt6078096,Profanity,Severe,7,11,7
tt6078096,"Alcohol, Drugs & Smoking",Severe,12,17,12
tt6078096,Frightening & Intense Scenes,Mild,8,10,8
tt8045690,Sex & Nudity,Severe,30,47,30
tt8045690,Violence & Gore,Mild,8,18,8
tt8045690,Profanity,Severe,9,14,9
tt8045690,"Alcohol, Drugs & Smoking",Moderate,8,16,8
tt8045690,Frightening & Intense Scenes,Mild,4,15,4
tt11761194,Sex & Nudity,Severe,29,46,29
tt11761194,Violence & Gore,Severe,16,21,16
tt11761194,Profanity,Severe,13,17,13
tt11761194,"Alcohol, Drugs & Smoking",Severe,13,17,13
tt11761194,Frightening & Intense Scenes,Moderate,9,19,9
tt1736341,Sex & Nudity,Severe,26,39,26
tt1736341,Violence & Gore,Severe,15,19,15
tt1736341,Profanity,Moderate,7,10,7
tt1736341,"Alcohol, Drugs & Smoking",Moderate,4,8,4
tt1736341,Frightening & Intense Scenes,Severe,4,7,4
tt1833285,Sex & Nudity,Severe,24,38,24
tt1833285,Violence & Gore,Mild,5,6,5
tt1833285,Profanity,Severe,6,11,6
tt1833285,"Alcohol, Drugs & Smoking",Moderate,5,9,5
tt1833285,Frightening & Intense Scenes,Mild,4,6,4
tt3502262,Sex & Nudity,Severe,23,38,23
tt3502262,Violence & Gore,Mild,5,10,5
tt3502262,Profanity,Severe,7,12,7
tt3502262,"Alcohol, Drugs & Smoking",Moderate,8,12,8
tt3502262,Frightening & Intense Scenes,Moderate,5,14,5
tt11761176,Sex & Nudity,Severe,22,30,22
tt11761176,Violence & Gore,Severe,9,11,9
tt11761176,Profanity,Severe,10,10,10
tt11761176,"Alcohol, Drugs & Smoking",Severe,11,12,11
tt11761176,Frightening & Intense Scenes,Severe,5,9,5
tt1832045,Sex & Nudity,Severe,19,34,19
tt1832045,Violence & Gore,Moderate,6,8,6
tt1832045,Profanity,Moderate,4,5,4
tt1832045,"Alcohol, Drugs & Smoking",Severe,5,9,5
tt1832045,Frightening & Intense Scenes,Mild,2,3,2
tt0381798,Sex & Nudity,Severe,17,32,17
tt0381798,Violence & Gore,Moderate,9,18,9
tt0381798,Profanity,Severe,11,17,11
tt0381798,"Alcohol, Drugs & Smoking",Severe,9,15,9
tt0381798,Frightening & Intense Scenes,Moderate,5,15,5
tt4855114,Sex & Nudity,Severe,15,26,15
tt4855114,Violence & Gore,Moderate,4,10,4
tt4855114,Profanity,Moderate,3,6,3
tt4855114,"Alcohol, Drugs & Smoking",Moderate,3,6,3
tt4855114,Frightening & Intense Scenes,Moderate,3,4,3
tt2521668,Sex & Nudity,Severe,12,21,12
tt2521668,Violence & Gore,Severe,5,10,5
tt2521668,Profanity,Mild,4,6,4
tt2521668,"Alcohol, Drugs & Smoking",Moderate,4,7,4
tt2521668,Frightening & Intense Scenes,Severe,3,6,3
tt0457229,Sex & Nudity,Severe,12,18,12
tt0457229,Violence & Gore,Severe,4,8,4
tt0457229,Profanity,Severe,5,8,5
tt0457229,"Alcohol, Drugs & Smoking",Severe,6,8,6
tt0457229,Frightening & Intense Scenes,Severe,5,10,5
tt0319969,Sex & Nudity,Severe,11,22,11
tt0319969,Violence & Gore,Moderate,5,8,5
tt0319969,Profanity,Mild,4,6,4
tt0319969,"Alcohol, Drugs & Smoking",Moderate,3,7,3
tt0319969,Frightening & Intense Scenes,Moderate,4,7,4
tt1119176,Sex & Nudity,Severe,10,19,10
tt1119176,Violence & Gore,Severe,5,9,5
tt1119176,Profanity,Severe,6,6,6
tt1119176,"Alcohol, Drugs & Smoking",Severe,4,6,4
tt1119176,Frightening & Intense Scenes,Severe,4,7,4
tt0830900,Sex & Nudity,Severe,10,20,10
tt0830900,Violence & Gore,Moderate,5,7,5
tt0830900,Profanity,Severe,7,14,7
tt0830900,"Alcohol, Drugs & Smoking",Severe,6,11,6
tt1279972,Sex & Nudity,Severe,9,17,9
tt1279972,Violence & Gore,Moderate,3,6,3
tt1279972,Profanity,Severe,4,7,4
tt1279972,"Alcohol, Drugs & Smoking",Moderate,2,5,2
tt1279972,Frightening & Intense Scenes,Moderate,1,3,1
tt0346369,Sex & Nudity,Severe,4,7,4
tt0346369,Violence & Gore,Mild,3,3,3
tt0346369,Profanity,Severe,3,3,3
